
Usuario: root | Cantidad .sh: 0
Usuario: daemon | Cantidad .sh: 0
Usuario: bin | Cantidad .sh: 0
Usuario: sys | Cantidad .sh: 0
Usuario: sync | Cantidad .sh: 0
Usuario: games | Cantidad .sh: 0
Usuario: man | Cantidad .sh: 0
Usuario: lp | Cantidad .sh: 0
Usuario: mail | Cantidad .sh: 0
Usuario: news | Cantidad .sh: 0
Usuario: uucp | Cantidad .sh: 0
Usuario: proxy | Cantidad .sh: 0
Usuario: www-data | Cantidad .sh: 0
Usuario: backup | Cantidad .sh: 0
Usuario: list | Cantidad .sh: 0
Usuario: irc | Cantidad .sh: 0
